"subjectID","wave","task","run","nVols","percent"
"TPOT093",1,"rest",2,0,0
"TPOT094",1,"affect_acq-1",1,8,4.3
"TPOT094",1,"affect_acq-2",2,7,3.8
"TPOT094",1,"rest",1,0,0
"TPOT094",1,"rest",2,0,0
"TPOT095",1,"affect_acq-1",1,0,0
"TPOT095",1,"affect_acq-2",2,0,0
"TPOT095",1,"rest",1,0,0
"TPOT095",1,"rest",2,0,0
"TPOT096",1,"affect_acq-1",1,2,1.1
"TPOT096",1,"affect_acq-2",2,0,0
"TPOT096",1,"rest",1,0,0
"TPOT096",1,"rest",2,0,0
"TPOT097",1,"affect_acq-1",1,0,0
"TPOT097",1,"affect_acq-2",2,0,0
"TPOT097",1,"rest",1,0,0
"TPOT097",1,"rest",2,0,0
"TPOT099",1,"affect_acq-1",1,3,1.6
"TPOT099",1,"affect_acq-2",2,3,1.6
"TPOT099",1,"rest",1,0,0
"TPOT099",1,"rest",2,0,0
"TPOT101",1,"affect_acq-1",1,1,0.5
"TPOT101",1,"affect_acq-2",2,1,0.5
"TPOT101",1,"rest",1,0,0
"TPOT101",1,"rest",2,0,0
"TPOT102",1,"affect_acq-1",1,0,0
"TPOT102",1,"affect_acq-2",2,1,0.5
"TPOT102",1,"rest",1,0,0
"TPOT102",1,"rest",2,0,0
"TPOT103",1,"affect_acq-1",1,11,5.9
"TPOT103",1,"affect_acq-2",2,8,4.3
"TPOT103",1,"rest",1,0,0
"TPOT103",1,"rest",2,2,0.5
"TPOT104",1,"affect_acq-1",1,5,2.7
"TPOT104",1,"affect_acq-2",2,11,5.9
"TPOT104",1,"rest",1,2,0.5
"TPOT104",1,"rest",2,2,0.5
"TPOT105",1,"affect_acq-1",1,0,0
"TPOT105",1,"affect_acq-2",2,0,0
"TPOT105",1,"rest",1,0,0
"TPOT105",1,"rest",2,0,0
"TPOT106",1,"affect_acq-1",1,0,0
"TPOT106",1,"affect_acq-2",2,11,5.9
"TPOT106",1,"rest",1,0,0
"TPOT106",1,"rest",2,0,0
"TPOT107",1,"affect_acq-1",1,0,0
"TPOT107",1,"affect_acq-2",2,0,0
"TPOT107",1,"rest",1,0,0
"TPOT107",1,"rest",2,0,0
"TPOT108",1,"affect_acq-1",1,0,0
"TPOT108",1,"affect_acq-2",2,11,5.9
"TPOT108",1,"rest",1,0,0
"TPOT108",1,"rest",2,0,0
"TPOT109",1,"affect_acq-1",1,0,0
"TPOT109",1,"affect_acq-2",2,0,0
"TPOT109",1,"rest",1,0,0
"TPOT109",1,"rest",2,0,0
"TPOT110",1,"affect_acq-1",1,0,0
"TPOT110",1,"affect_acq-2",2,2,1.1
"TPOT110",1,"rest",1,0,0
"TPOT110",1,"rest",2,0,0
"TPOT112",1,"affect_acq-1",1,1,0.5
"TPOT112",1,"affect_acq-2",2,0,0
"TPOT112",1,"rest",1,0,0
"TPOT112",1,"rest",2,0,0
"TPOT113",1,"affect_acq-1",1,4,2.2
"TPOT113",1,"affect_acq-2",2,2,1.1
"TPOT113",1,"rest",1,0,0
"TPOT113",1,"rest",2,0,0
"TPOT114",1,"affect_acq-1",1,0,0
"TPOT114",1,"affect_acq-2",2,0,0
"TPOT114",1,"rest",1,0,0
"TPOT114",1,"rest",2,0,0
"TPOT115",1,"affect_acq-1",1,0,0
"TPOT115",1,"affect_acq-2",2,3,1.6
"TPOT115",1,"rest",1,0,0
"TPOT115",1,"rest",2,0,0
"TPOT116",1,"affect_acq-1",1,0,0
"TPOT116",1,"affect_acq-2",2,0,0
"TPOT116",1,"rest",1,0,0
"TPOT116",1,"rest",2,0,0
"TPOT117",1,"affect_acq-1",1,0,0
"TPOT117",1,"affect_acq-2",2,0,0
"TPOT117",1,"rest",1,0,0
"TPOT117",1,"rest",2,0,0
"TPOT118",1,"affect_acq-1",1,2,1.1
"TPOT118",1,"affect_acq-2",2,3,1.6
"TPOT118",1,"rest",1,0,0
"TPOT118",1,"rest",2,0,0
"TPOT119",1,"affect_acq-1",1,1,0.5
"TPOT119",1,"affect_acq-2",2,6,3.2
"TPOT119",1,"rest",1,0,0
"TPOT119",1,"rest",2,0,0
"TPOT120",1,"affect_acq-1",1,107,57.8
"TPOT120",1,"rest",1,17,4.5
"TPOT120",1,"rest",2,2,0.5
"TPOT124",1,"affect_acq-1",1,0,0
"TPOT124",1,"affect_acq-2",2,4,2.2
"TPOT124",1,"rest",1,0,0
"TPOT124",1,"rest",2,0,0
"TPOT125",1,"affect_acq-1",1,4,2.2
"TPOT125",1,"affect_acq-2",2,0,0
"TPOT125",1,"rest",1,0,0
"TPOT125",1,"rest",2,1,0.3
"TPOT126",1,"affect_acq-1",1,0,0
"TPOT126",1,"affect_acq-2",2,7,3.8
"TPOT126",1,"rest",1,0,0
"TPOT126",1,"rest",2,0,0
"TPOT127",1,"affect_acq-1",1,4,2.2
"TPOT127",1,"affect_acq-2",2,15,8.1
"TPOT127",1,"rest",1,0,0
"TPOT127",1,"rest",2,0,0
"TPOT129",1,"affect_acq-1",1,0,0
"TPOT129",1,"affect_acq-2",2,0,0
"TPOT129",1,"rest",1,0,0
"TPOT129",1,"rest",2,0,0
"TPOT130",1,"affect_acq-1",1,0,0
"TPOT130",1,"affect_acq-2",2,0,0
"TPOT130",1,"rest",1,0,0
"TPOT130",1,"rest",2,0,0
"TPOT131",1,"affect_acq-1",1,0,0
"TPOT131",1,"affect_acq-2",2,0,0
"TPOT131",1,"rest",1,0,0
"TPOT131",1,"rest",2,0,0
"TPOT132",1,"affect_acq-2",1,0,0
"TPOT132",1,"rest",1,0,0
"TPOT132",1,"rest",2,0,0
"TPOT133",1,"affect_acq-1",1,1,0.5
"TPOT133",1,"affect_acq-2",2,1,0.5
"TPOT133",1,"rest",1,0,0
"TPOT133",1,"rest",2,0,0
"TPOT134",1,"affect_acq-1",1,0,0
"TPOT134",1,"affect_acq-2",2,0,0
"TPOT134",1,"rest",1,0,0
"TPOT134",1,"rest",2,0,0
"TPOT135",1,"affect_acq-1",1,0,0
"TPOT135",1,"affect_acq-2",2,0,0
"TPOT135",1,"rest",1,0,0
"TPOT135",1,"rest",2,0,0
"TPOT137",1,"affect_acq-1",1,0,0
"TPOT137",1,"affect_acq-2",2,1,0.5
"TPOT137",1,"rest",1,0,0
"TPOT137",1,"rest",2,0,0
"TPOT138",1,"affect_acq-1",1,0,0
"TPOT138",1,"affect_acq-2",2,0,0
"TPOT138",1,"rest",1,0,0
"TPOT138",1,"rest",2,0,0
"TPOT139",1,"affect_acq-1",1,0,0
"TPOT139",1,"affect_acq-2",2,0,0
"TPOT139",1,"rest",1,0,0
"TPOT139",1,"rest",2,0,0
"TPOT140",1,"affect_acq-1",1,1,0.5
"TPOT140",1,"affect_acq-2",2,0,0
"TPOT140",1,"rest",1,0,0
"TPOT140",1,"rest",2,0,0
"TPOT142",1,"affect_acq-1",1,1,0.5
"TPOT142",1,"affect_acq-2",2,0,0
"TPOT142",1,"rest",1,0,0
"TPOT142",1,"rest",2,0,0
"TPOT143",1,"affect_acq-1",1,5,2.7
"TPOT143",1,"rest",1,7,1.9
"TPOT143",1,"rest",2,20,5.3
"TPOT145",1,"rest",1,1,0.3
"TPOT145",1,"rest",2,0,0
"TPOT146",1,"affect_acq-1",1,0,0
"TPOT146",1,"affect_acq-2",2,0,0
"TPOT146",1,"rest",1,0,0
"TPOT146",1,"rest",2,0,0
"TPOT148",1,"affect_acq-1",1,0,0
"TPOT148",1,"affect_acq-2",2,0,0
"TPOT148",1,"rest",1,0,0
"TPOT148",1,"rest",2,0,0
"TPOT149",1,"affect_acq-1",1,0,0
"TPOT149",1,"affect_acq-2",2,0,0
"TPOT149",1,"rest",1,0,0
"TPOT149",1,"rest",2,0,0
"TPOT151",1,"affect_acq-1",1,0,0
"TPOT151",1,"affect_acq-2",2,0,0
"TPOT151",1,"rest",1,0,0
"TPOT151",1,"rest",2,0,0
"TPOT152",1,"affect_acq-1",1,52,28.1
"TPOT152",1,"rest",1,117,31.2
"TPOT152",1,"rest",2,227,60.5
"TPOT153",1,"affect_acq-1",1,4,2.2
"TPOT153",1,"affect_acq-2",2,0,0
"TPOT153",1,"rest",1,0,0
"TPOT153",1,"rest",2,0,0
"TPOT154",1,"affect_acq-1",1,40,21.6
"TPOT154",1,"affect_acq-2",2,65,35.1
"TPOT154",1,"rest",1,0,0
"TPOT154",1,"rest",2,0,0
"TPOT156",1,"affect_acq-1",1,1,0.5
"TPOT156",1,"affect_acq-2",2,9,4.9
"TPOT156",1,"rest",1,0,0
"TPOT156",1,"rest",2,0,0
"TPOT158",1,"affect_acq-1",1,0,0
"TPOT158",1,"rest",1,0,0
"TPOT158",1,"rest",2,0,0
"TPOT159",1,"affect_acq-1",1,0,0
"TPOT159",1,"affect_acq-2",2,0,0
"TPOT159",1,"rest",1,0,0
"TPOT159",1,"rest",2,0,0
"TPOT160",1,"affect_acq-1",1,0,0
"TPOT160",1,"affect_acq-2",2,2,1.1
"TPOT160",1,"rest",1,0,0
"TPOT160",1,"rest",2,0,0
"TPOT161",1,"affect_acq-1",1,0,0
"TPOT161",1,"affect_acq-2",2,0,0
"TPOT161",1,"rest",1,0,0
"TPOT161",1,"rest",2,0,0
"TPOT162",1,"affect_acq-1",1,26,14.1
"TPOT162",1,"affect_acq-2",2,20,10.8
"TPOT162",1,"rest",1,1,0.3
"TPOT162",1,"rest",2,1,0.3
"TPOT163",1,"affect_acq-1",1,2,1.1
"TPOT163",1,"affect_acq-2",2,5,2.7
"TPOT163",1,"rest",1,0,0
"TPOT163",1,"rest",2,0,0
"TPOT165",1,"affect_acq-1",1,0,0
"TPOT165",1,"affect_acq-2",2,0,0
"TPOT165",1,"rest",1,0,0
"TPOT165",1,"rest",2,0,0
"TPOT166",1,"affect_acq-1",1,1,0.5
"TPOT166",1,"affect_acq-2",2,0,0
"TPOT166",1,"rest",1,0,0
"TPOT166",1,"rest",2,0,0
"TPOT167",1,"affect_acq-1",1,0,0
"TPOT167",1,"affect_acq-2",2,3,1.6
"TPOT167",1,"rest",1,1,0.3
"TPOT167",1,"rest",2,0,0
"TPOT171",1,"affect_acq-1",1,0,0
"TPOT171",1,"affect_acq-2",2,0,0
"TPOT171",1,"rest",1,0,0
"TPOT171",1,"rest",2,0,0
"TPOT172",1,"affect_acq-1",1,1,0.5
"TPOT172",1,"affect_acq-2",2,2,1.1
"TPOT172",1,"rest",1,1,0.3
"TPOT172",1,"rest",2,0,0
"TPOT174",1,"affect_acq-1",1,0,0
"TPOT174",1,"affect_acq-2",2,3,1.6
"TPOT174",1,"rest",1,0,0
"TPOT174",1,"rest",2,0,0
"TPOT176",1,"affect_acq-1",1,9,4.9
"TPOT176",1,"affect_acq-2",2,5,2.7
"TPOT176",1,"rest",1,2,0.5
"TPOT176",1,"rest",2,3,0.8
"TPOT177",1,"affect_acq-1",1,6,3.2
"TPOT177",1,"affect_acq-2",2,10,5.4
"TPOT177",1,"rest",1,0,0
"TPOT177",1,"rest",2,2,0.5
"TPOT179",1,"affect_acq-1",1,0,0
"TPOT179",1,"affect_acq-2",2,4,2.2
"TPOT179",1,"rest",1,0,0
"TPOT179",1,"rest",2,0,0
"TPOT181",1,"affect_acq-1",1,7,3.8
"TPOT181",1,"affect_acq-2",2,4,2.2
"TPOT181",1,"rest",1,0,0
"TPOT181",1,"rest",2,2,0.5
"TPOT182",1,"affect_acq-1",1,0,0
"TPOT182",1,"affect_acq-2",2,0,0
"TPOT201",1,"affect_acq-1",1,26,14.1
"TPOT201",1,"affect_acq-2",2,14,7.6
"TPOT201",1,"rest",1,0,0
"TPOT201",1,"rest",2,0,0
"TPOT202",1,"affect_acq-1",1,0,0
"TPOT202",1,"affect_acq-2",2,0,0
"TPOT202",1,"rest",1,0,0
"TPOT202",1,"rest",2,0,0
